,estimator,min_score,mean_score,max_score,std_score,alpha,criterion,hidden_layer_sizes,max_depth,max_features,max_iter,n_estimators,random_state,solver
20,RandomForestClassifier,0.6494904667981591,0.7555514249320443,0.8058021038790268,0.04209064142256061,,gini,,6,auto,,500,,
27,RandomForestClassifier,0.6468606180144642,0.7555298652951001,0.7955810423342892,0.03960120942664715,,gini,,7,auto,,100,,
66,RandomForestClassifier,0.6629684418145957,0.7555026891190727,0.8072813938198554,0.03952315946474871,,entropy,,6,sqrt,,100,,
71,RandomForestClassifier,0.6535996055226824,0.7549044140452732,0.8053090072320841,0.04019969978454848,,entropy,,6,log2,,500,,
21,RandomForestClassifier,0.6442307692307694,0.7547992273017249,0.8089250493096647,0.04330241019709248,,gini,,6,sqrt,,100,,
63,RandomForestClassifier,0.654585798816568,0.7546054262088229,0.8064595660749507,0.03971870698839559,,entropy,,6,auto,,100,,
24,RandomForestClassifier,0.6452169625246549,0.7538851036853035,0.8066239316239316,0.04129651303342429,,gini,,6,log2,,100,,
13,RandomForestClassifier,0.6488330046022354,0.7531778882677984,0.8016929651545036,0.04291281860162939,,gini,,5,sqrt,,200,,
10,RandomForestClassifier,0.6475180802103879,0.7527360113523949,0.7988987508218277,0.041615502612004585,,gini,,5,auto,,200,,
15,RandomForestClassifier,0.6514628533859302,0.7525481178827832,0.8002958579881657,0.04203722446019851,,gini,,5,log2,,100,,
58,RandomForestClassifier,0.644888231426693,0.7523144992425712,0.803336620644313,0.041780389639539076,,entropy,,5,sqrt,,200,,
59,RandomForestClassifier,0.6489973701512163,0.7514058923649334,0.7965976331360948,0.04011996348155637,,entropy,,5,sqrt,,500,,
61,RandomForestClassifier,0.656886916502301,0.7513936086113908,0.7946252465483236,0.037784722317697,,entropy,,5,log2,,200,,
69,RandomForestClassifier,0.6442307692307693,0.7510629064575118,0.8038297172912557,0.04420409136315339,,entropy,,6,log2,,100,,
56,RandomForestClassifier,0.6453813280736358,0.7510130173966338,0.8011998685075609,0.0416377479165903,,entropy,,5,auto,,500,,
62,RandomForestClassifier,0.6501479289940829,0.7509832519572779,0.7987343852728468,0.04043748361817219,,entropy,,5,log2,,500,,
14,RandomForestClassifier,0.6514628533859304,0.7509508861656713,0.7985700197238659,0.040076439256142384,,gini,,5,sqrt,,500,,
54,RandomForestClassifier,0.6527777777777777,0.7508624298334589,0.8003780407626562,0.039767272818433064,,entropy,,5,auto,,100,,
11,RandomForestClassifier,0.6478468113083498,0.7507287445599133,0.7942965154503617,0.03998649717426773,,gini,,5,auto,,500,,
9,RandomForestClassifier,0.6475180802103879,0.7499771152368555,0.789612097304405,0.04000829825067244,,gini,,5,auto,,100,,
17,RandomForestClassifier,0.6427514792899408,0.749433688744378,0.7952827087442471,0.04165684245412574,,gini,,5,log2,,500,,
12,RandomForestClassifier,0.6491617357001972,0.7493607707643672,0.800706771860618,0.041545598806618386,,gini,,5,sqrt,,100,,
16,RandomForestClassifier,0.6562294543063774,0.7493417061349129,0.798241288625904,0.038138776764254693,,gini,,5,log2,,200,,
55,RandomForestClassifier,0.6483399079552925,0.748751952897807,0.7900230111768574,0.04007064824095672,,entropy,,5,auto,,200,,
57,RandomForestClassifier,0.6416009204470743,0.7479314641402552,0.7963510848126234,0.04281027598027552,,entropy,,5,sqrt,,100,,
60,RandomForestClassifier,0.6494904667981591,0.7472630183669146,0.7902695595003287,0.04007261854658529,,entropy,,5,log2,,100,,
49,RandomForestClassifier,0.6483399079552926,0.744203196625774,0.7999671268902039,0.04205386869423682,,entropy,,4,sqrt,,200,,
47,RandomForestClassifier,0.6534352399737015,0.743590300808083,0.7866535174227482,0.037495904047140136,,entropy,,4,auto,,500,,
2,RandomForestClassifier,0.6483399079552926,0.7426124214336003,0.7922419460881,0.039510331268352586,,gini,,4,auto,,500,,
1,RandomForestClassifier,0.6434089414858646,0.7423260001182079,0.7884615384615383,0.03964548907303549,,gini,,4,auto,,200,,
52,RandomForestClassifier,0.6491617357001972,0.7421138052756435,0.7915844838921762,0.03930042342469113,,entropy,,4,log2,,200,,
51,RandomForestClassifier,0.6514628533859305,0.7417491987422057,0.7917488494411571,0.04010445034893687,,entropy,,4,log2,,100,,
8,RandomForestClassifier,0.6512984878369493,0.7415922211876257,0.7915844838921763,0.03822702006283684,,gini,,4,log2,,500,,
7,RandomForestClassifier,0.6430802103879028,0.7415396208852753,0.8006245890861275,0.04165086248014519,,gini,,4,log2,,200,,
46,RandomForestClassifier,0.6462031558185404,0.7415126581709998,0.7878040762656147,0.03937779819242388,,entropy,,4,auto,,200,,
6,RandomForestClassifier,0.6532708744247205,0.7412727548841435,0.7862426035502958,0.03769755352833561,,gini,,4,log2,,100,,
5,RandomForestClassifier,0.6455456936226166,0.740710646330027,0.7901051939513478,0.040087298152080925,,gini,,4,sqrt,,500,,
50,RandomForestClassifier,0.6519559500328731,0.7405273769409634,0.78698224852071,0.03840260488210966,,entropy,,4,sqrt,,500,,
4,RandomForestClassifier,0.6516272189349112,0.7403057454256257,0.7983234714003945,0.039305532213928136,,gini,,4,sqrt,,200,,
53,RandomForestClassifier,0.6514628533859302,0.7397805352600557,0.7876397107166337,0.037915568651916275,,entropy,,4,log2,,500,,
48,RandomForestClassifier,0.649819197896121,0.7396060732474319,0.7854207758053912,0.038247178852369466,,entropy,,4,sqrt,,100,,
0,RandomForestClassifier,0.6346975673898752,0.7391106146600651,0.7891190006574622,0.041099622360881743,,gini,,4,auto,,100,,
3,RandomForestClassifier,0.6465318869165023,0.7387399036749687,0.7956114398422092,0.04105281771736131,,gini,,4,sqrt,,100,,
45,RandomForestClassifier,0.6593523997370151,0.7384591654321925,0.7907626561472716,0.036220789416155204,,entropy,,4,auto,,100,,
103,mlp,0.6585305719921104,0.721833116101348,0.7560815253122946,0.03130069584207238,0.1,,13,,,1000,,1,lbfgs
