,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
188,knn,0.7266389177939646,0.7388082437275986,0.7542529585798816,0.012563278004932796,,ball_tree,,,,,,,,,,10,,,uniform
78,RandomForestClassifier,0.7324950690335306,0.7387351987198303,0.745369406867846,0.005025197011165483,,,,gini,,,,7,auto,,200,,,,
387,ExtraTreesClassifier,0.7333746898263027,0.7386401362540801,0.7485618014464168,0.00525978184851506,,,,entropy,,,,8,sqrt,,500,,,,
212,knn,0.7282878411910669,0.7386056217122614,0.7546097814776275,0.012141312581983548,,brute,,,,,,,,,,10,,,uniform
93,RandomForestClassifier,0.7209894806048653,0.7385045916311426,0.7530072840790843,0.010216138546277674,,,,gini,,,,8,sqrt,,100,,,,
83,RandomForestClassifier,0.7259729448491156,0.7384785774050562,0.753777315296566,0.00972485131913768,,,,gini,,,,7,sqrt,,500,,,,
386,ExtraTreesClassifier,0.7332347140039448,0.7384680080674236,0.7490548980933596,0.005750836678355512,,,,entropy,,,,8,sqrt,,100,,,,
89,RandomForestClassifier,0.7259718775847808,0.7384675163390645,0.752794214332676,0.010190001365703352,,,,gini,,,,8,auto,,100,,,,
375,ExtraTreesClassifier,0.7267221644120707,0.7384641508646551,0.7536571334648259,0.010595402665754797,,,,entropy,,,,7,log2,,500,,,,
96,RandomForestClassifier,0.7226536817882973,0.7384259005555933,0.7525286160249739,0.009538344980444008,,,,gini,,,,8,log2,,50,,,,
79,RandomForestClassifier,0.7285952133194589,0.7384115863858118,0.7480749219562955,0.00774904919909348,,,,gini,,,,7,auto,,500,,,,
339,ExtraTreesClassifier,0.7299687825182101,0.7383774527410564,0.7481581685744016,0.007428674082122883,,,,entropy,,,,5,log2,,500,,,,
151,RandomForestClassifier,0.7277284681130836,0.7383672956000661,0.7462195923734387,0.008027773768122142,,,,entropy,,,,8,auto,,500,,,,
86,RandomForestClassifier,0.7171679815910585,0.7382483469375328,0.7565335305719921,0.012657955467030867,,,,gini,,,,7,log2,,200,,,,
24,SVC,0.7270551508844953,0.7381856116348231,0.7562330905306973,0.010092584920417392,3,,,,0.0001,,rbf,,,,,,,,
150,RandomForestClassifier,0.7177315296566076,0.7381294885819819,0.7552522746071132,0.012630586427864559,,,,entropy,,,,8,auto,,200,,,,
99,RandomForestClassifier,0.7237836949375411,0.7381283433252536,0.7459470636889992,0.008803970559174874,,,,gini,,,,8,log2,,500,,,,
127,RandomForestClassifier,0.7266805411030177,0.7380705766169227,0.7462434963579605,0.0073171561780898,,,,entropy,,,,6,auto,,500,,,,
254,ExtraTreesClassifier,0.7247658688865766,0.7380593385287213,0.7484495317377731,0.007912926475969046,,,,gini,,,,6,auto,,100,,,,
157,RandomForestClassifier,0.7238658777120316,0.7379858505378397,0.7462434963579605,0.008299310851912971,,,,entropy,,,,8,log2,,100,,,,
139,RandomForestClassifier,0.7219756738987508,0.7378893660791924,0.7509451019066404,0.011126661287118814,,,,entropy,,,,7,auto,,500,,,,
121,RandomForestClassifier,0.7271942800788955,0.7376778503654354,0.7476577909270217,0.007291665040295451,,,,entropy,,,,5,log2,,100,,,,
357,ExtraTreesClassifier,0.7260848126232742,0.737646393433314,0.7456443129520053,0.007279096462624406,,,,entropy,,,,6,log2,,500,,,,
261,ExtraTreesClassifier,0.7274408284023668,0.7375455465316989,0.7518491124260355,0.008223963780929522,,,,gini,,,,6,sqrt,,500,,,,
74,RandomForestClassifier,0.7214620315581853,0.7373996759552871,0.7571960297766749,0.012649810219835668,,,,gini,,,,6,log2,,200,,,,
59,RandomForestClassifier,0.7206451612903226,0.7372110433124601,0.751363163371488,0.010279205339323264,,,,gini,,,,5,sqrt,,500,,,,
255,ExtraTreesClassifier,0.7314672216441207,0.7371029516700293,0.7476166995397764,0.006789659342433606,,,,gini,,,,6,auto,,500,,,,
393,ExtraTreesClassifier,0.7260026298487838,0.7369790333869017,0.745767587113741,0.0071257718641300144,,,,entropy,,,,8,log2,,500,,,,
94,RandomForestClassifier,0.722726326742976,0.7369210788810966,0.7567325702393342,0.011811250555960764,,,,gini,,,,8,sqrt,,200,,,,
158,RandomForestClassifier,0.7249342537804075,0.7369145230730918,0.747534516765286,0.009447952240275542,,,,entropy,,,,8,log2,,200,,,,
53,RandomForestClassifier,0.7260848126232741,0.7368732267847772,0.7503433922996878,0.007895333090361528,,,,gini,,,,5,auto,,100,,,,
153,RandomForestClassifier,0.7176482830385016,0.736823095292338,0.7552965660770031,0.013355447260317524,,,,entropy,,,,8,sqrt,,100,,,,
133,RandomForestClassifier,0.7128944773175543,0.7368070628953924,0.7532154006243497,0.014863963758369769,,,,entropy,,,,6,log2,,100,,,,
200,knn,0.7235379812695109,0.7367871325891217,0.7529791255752795,0.012510128866655887,,kd_tree,,,,,,,,,,10,,,uniform
176,knn,0.7235379812695109,0.7367871325891217,0.7529791255752795,0.012510128866655887,,auto,,,,,,,,,,10,,,uniform
381,ExtraTreesClassifier,0.7289281997918835,0.7366915578706982,0.7496712689020382,0.007190043209553732,,,,entropy,,,,8,auto,,500,,,,
123,RandomForestClassifier,0.7202289281997919,0.7365346966951065,0.7493425378040762,0.010202277095956655,,,,entropy,,,,5,log2,,500,,,,
137,RandomForestClassifier,0.7188969823100936,0.7363620225616945,0.7507180020811655,0.011942439029046048,,,,entropy,,,,7,auto,,100,,,,
135,RandomForestClassifier,0.7192225509533202,0.736343332095033,0.7483246618106139,0.011405437945356653,,,,entropy,,,,6,log2,,500,,,,
369,ExtraTreesClassifier,0.7339332675871137,0.7363101316224265,0.7449868507560816,0.00434096472739636,,,,entropy,,,,7,sqrt,,500,,,,
57,RandomForestClassifier,0.7292803970223325,0.7363049654815244,0.7413735691987513,0.004762775889780897,,,,gini,,,,5,sqrt,,100,,,,
327,ExtraTreesClassifier,0.7258896982310094,0.7361264797175308,0.7441650230111769,0.005919103658243032,,,,entropy,,,,5,auto,,500,,,,
62,RandomForestClassifier,0.7261669953977646,0.7361121708498639,0.7419460880999342,0.006578788376002586,,,,gini,,,,5,log2,,200,,,,
297,ExtraTreesClassifier,0.7269230769230769,0.7360805021752352,0.7564513477975018,0.010756843049897104,,,,gini,,,,8,sqrt,,500,,,,
69,RandomForestClassifier,0.7306763787721123,0.7359915114857482,0.7427679158448389,0.004626657918508228,,,,gini,,,,6,sqrt,,100,,,,
243,ExtraTreesClassifier,0.7279156327543423,0.7359913202675551,0.7449531737773153,0.0069001556212657375,,,,gini,,,,5,sqrt,,500,,,,
267,ExtraTreesClassifier,0.7236604207758053,0.7359234761209867,0.7441650230111768,0.00698131805069964,,,,gini,,,,6,log2,,500,,,,
343,ExtraTreesClassifier,0.719958376690947,0.7356943546505701,0.7482630272952853,0.011264072353026552,,,,entropy,,,,6,auto,,50,,,,
66,RandomForestClassifier,0.7207700312174818,0.735615561466558,0.7484911550468262,0.009792127779511512,,,,gini,,,,6,auto,,200,,,,
87,RandomForestClassifier,0.7243589743589745,0.7356059533509705,0.7437138130686518,0.007172823376763971,,,,gini,,,,7,log2,,500,,,,
138,RandomForestClassifier,0.7190634755463061,0.7355975188840794,0.7418730489073881,0.008378753048023978,,,,entropy,,,,7,auto,,200,,,,
291,ExtraTreesClassifier,0.7287557527942143,0.7355694854075546,0.75439677843524,0.009547810735757797,,,,gini,,,,8,auto,,500,,,,
345,ExtraTreesClassifier,0.7248074921956296,0.7355247485600482,0.7501232741617356,0.008670468697852918,,,,entropy,,,,6,auto,,500,,,,
84,RandomForestClassifier,0.712528616024974,0.7351992337931464,0.7495941727367325,0.012222938917211372,,,,gini,,,,7,log2,,50,,,,
149,RandomForestClassifier,0.7188969823100936,0.7351895499086326,0.7455359001040582,0.009532760568174986,,,,entropy,,,,8,auto,,100,,,,
58,RandomForestClassifier,0.7203954214360042,0.7350788480865524,0.7480332986472424,0.00912206024129851,,,,gini,,,,5,sqrt,,200,,,,
122,RandomForestClassifier,0.72264308012487,0.735039246593477,0.7481389578163772,0.010414820555057672,,,,entropy,,,,5,log2,,200,,,,
49,RandomForestClassifier,0.725283530571992,0.7350203479760632,0.7453267162944582,0.00807099799302175,,,,gini,,,,4,log2,,100,,,,
70,RandomForestClassifier,0.7177315296566078,0.7349515920368399,0.7532778355879292,0.011643051907106296,,,,gini,,,,6,sqrt,,200,,,,
333,ExtraTreesClassifier,0.7226014568158168,0.7349433460515666,0.7495890861275476,0.009372116566131457,,,,entropy,,,,5,sqrt,,500,,,,
63,RandomForestClassifier,0.7251397107166339,0.734901854440196,0.742372528616025,0.006917587065563189,,,,gini,,,,5,log2,,500,,,,
273,ExtraTreesClassifier,0.7273175542406312,0.7348829211024841,0.7502465483234715,0.008256235605169568,,,,gini,,,,7,auto,,500,,,,
279,ExtraTreesClassifier,0.7270551508844951,0.7348717562176699,0.7525476660092043,0.009055863501994216,,,,gini,,,,7,sqrt,,500,,,,
236,ExtraTreesClassifier,0.7200624349635796,0.7348631183890328,0.746763787721124,0.008548044655803489,,,,gini,,,,5,auto,,100,,,,
301,ExtraTreesClassifier,0.7170863683662853,0.7348230232862026,0.763025969756739,0.015802871986914713,,,,gini,,,,8,log2,,50,,,,
81,RandomForestClassifier,0.7156476002629849,0.7348043170842338,0.750239334027055,0.013798949920521891,,,,gini,,,,7,sqrt,,100,,,,
303,ExtraTreesClassifier,0.7158941485864563,0.7347987389177255,0.758259368836292,0.013557359410857958,,,,gini,,,,8,log2,,500,,,,
131,RandomForestClassifier,0.7222268470343393,0.7347306960273822,0.7475754422476587,0.009979757264880356,,,,entropy,,,,6,sqrt,,500,,,,
344,ExtraTreesClassifier,0.7160665972944849,0.734439338337161,0.7489727153188692,0.011868873819262365,,,,entropy,,,,6,auto,,100,,,,
50,RandomForestClassifier,0.7222633136094674,0.7343924443842399,0.7451196670135276,0.008397734372591783,,,,gini,,,,4,log2,,200,,,,
126,RandomForestClassifier,0.7140686784599376,0.7343728132198477,0.7569406867845994,0.01460485096810175,,,,entropy,,,,6,auto,,200,,,,
136,RandomForestClassifier,0.7219189412737799,0.7342978346506521,0.753777315296566,0.011249883161534961,,,,entropy,,,,7,auto,,50,,,,
130,RandomForestClassifier,0.7165244536940687,0.734267912082048,0.7400147928994082,0.00890126079873825,,,,entropy,,,,6,sqrt,,200,,,,
148,RandomForestClassifier,0.7116000986193294,0.7341705962176426,0.7603329864724245,0.018803145332749235,,,,entropy,,,,8,auto,,50,,,,
231,ExtraTreesClassifier,0.720784023668639,0.7341398933830297,0.7441650230111767,0.007530855011105462,,,,gini,,,,4,log2,,500,,,,
356,ExtraTreesClassifier,0.7147846811308349,0.7341162763968334,0.7492819979188347,0.011105667091803788,,,,entropy,,,,6,log2,,100,,,,
117,RandomForestClassifier,0.7195213319458896,0.734108343065279,0.748178980228928,0.009641674028305132,,,,entropy,,,,5,sqrt,,100,,,,
290,ExtraTreesClassifier,0.7243912591050987,0.7340629285733343,0.7439595660749507,0.006725424609332788,,,,gini,,,,8,auto,,100,,,,
73,RandomForestClassifier,0.7167570677186061,0.7339144447386262,0.7495069033530573,0.012842600183345597,,,,gini,,,,6,log2,,100,,,,
302,ExtraTreesClassifier,0.7175788954635108,0.7338207187477979,0.7590811965811967,0.013754902404778068,,,,gini,,,,8,log2,,100,,,,
