,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
342,ExtraTreesClassifier,0.688198553583169,0.7278061473990546,0.7967619986850756,0.030813427029068228,,,,entropy,,,,6,auto,,40,,,,
286,ExtraTreesClassifier,0.6654339250493098,0.7277375762765373,0.7829313543599257,0.032896235661131444,,,,gini,,,,8,auto,,10,,,,
178,knn,0.6818704799474031,0.7275155982323815,0.8165680473372781,0.040364013409739004,,ball_tree,,,,,,,,,,5,,,uniform
348,ExtraTreesClassifier,0.6743918474687705,0.7274300333366268,0.7729289940828402,0.027536619707938977,,,,entropy,,,,6,sqrt,,40,,,,
246,ExtraTreesClassifier,0.6742274819197895,0.7273419457110765,0.7855851413543721,0.03267322225059979,,,,gini,,,,5,log2,,40,,,,
336,ExtraTreesClassifier,0.6892274392274392,0.7271995694947744,0.790844838921762,0.03341227358966406,,,,entropy,,,,5,log2,,40,,,,
332,ExtraTreesClassifier,0.6998834498834499,0.7270159951603509,0.7908448389217619,0.026608654133312117,,,,entropy,,,,5,sqrt,,100,,,,
206,knn,0.6833497698882315,0.7269169447491126,0.8477975016436556,0.04702521417895371,,brute,,,,,,,,,,7,,,uniform
247,ExtraTreesClassifier,0.6754079254079254,0.7268289527655161,0.7826265614727154,0.03155834323756083,,,,gini,,,,5,log2,,50,,,,
370,ExtraTreesClassifier,0.6829388560157791,0.7266865682325223,0.7962689020381327,0.03370106283090607,,,,entropy,,,,7,log2,,10,,,,
281,ExtraTreesClassifier,0.6803090072320841,0.7265047653534167,0.7726002629848784,0.029371990888810935,,,,gini,,,,7,log2,,20,,,,
341,ExtraTreesClassifier,0.6651873767258383,0.7260747022984786,0.7988165680473372,0.035559736743341674,,,,entropy,,,,6,auto,,20,,,,
227,ExtraTreesClassifier,0.6887738330046023,0.7258120888990021,0.7866535174227481,0.03219054882908483,,,,gini,,,,4,log2,,20,,,,
194,knn,0.6856508875739644,0.7254313951117148,0.8416337935568706,0.044197850672882885,,kd_tree,,,,,,,,,,7,,,uniform
170,knn,0.6856508875739644,0.7254313951117148,0.8416337935568706,0.044197850672882885,,auto,,,,,,,,,,7,,,uniform
459,mlp,0.638724523339908,0.7253686013176524,0.8059664694280079,0.04831399022026013,,,1e-07,,,13,,,,1500,,,1,lbfgs,
182,knn,0.685404339250493,0.7253422845330937,0.841387245233399,0.04471793762977964,,ball_tree,,,,,,,,,,7,,,uniform
